Vị trí,Dưới 1 năm,Từ 1 đến dưới 3 năm,Từ 3 đến dưới 5 năm,Từ 5 đến 8 năm,Trên 8 năm
Back-end Developer,12,18,29,37,49
Front-end Developer,11,15,30,40,70
Full-stack Developer,17,19,25,37,39.5
Mobile Developer,12,19,27,42,57.5
Game Developer,19,22,28.5,32,51
Embedded Engineer,15,37,N/A,41,N/A
Product Owner/Product Manager/ Business Analyst,12.5,28,33,39,40
Project Manager/Project Leader,19.5,35,44.5,N/A,58
IT Lead/Manager,N/A,N/A,39.5,42.5,61
IT Consultant,N/A,N/A,27.5,34,N/A
Designer,N/A,25,27,N/A,50
Tester or QA-QC,11.5,15,20,30,46
System Engineer/System Admin,13,17,20,26,28
DevOps Engineer,N/A,31,40,61,65
"Chuyen gia Data, AI & ML",12,24,38,40,42.5
ERP Engineer/ERP Consultant,18,N/A,N/A,30,45
Solution Architect,N/A,70,80,N/A,N/A
